Titles,Genre,imdb,Tv-Ratings,runtime,Director,year
Captain Sparky vs. The Flying Saucers,Animation,N/A,PG,3min,N/A,2013
X-Men: Apocalypse,"Science-Fiction, Fantasy, Action & Adventure",6.9,PG-13,2h 24min,Bryan Singer,2016
Once Upon a Snowman,"Comedy, Kids & Family, Animation",N/A,G,12min,Dan Abraham,2020
Dark Phoenix,"Action & Adventure, Fantasy, Science-Fiction",5.7,PG-13,1h 54min,Simon Kinberg,2019
Folklore: The Long Pond Studio Sessions,"Music & Musical, Documentary, Drama",8.4,PG,1h 46min,Taylor Swift,2020
Clotilda: Last American Slave Ship,Documentary,N/A,PG-13,42min,Lisa Feit,2022
Far from the Tree,"Animation, Kids & Family",N/A,G,7min,Natalie Nourigat,2021
The Ice Age Adventures of Buck Wild,"Animation, Fantasy, Drama, Action & Adventure, Comedy, Kids & Family",4.3,PG,1h 22min,John C. Donkin,2022
Miraculous World: Shanghai – The Legend of Ladydragon,Fantasy,N/A,N/A,54min,Thomas Astruc,2021
Marvel Studios Assembled: The Making of Eternals,Documentary,7.9,PG,58min,N/A,2022
Togo,"Action & Adventure, Kids & Family, Made in Europe, History, Drama",7.9,PG,1h 53min,Ericson Core,2019
Stargirl,"Comedy, Drama, Romance, Fantasy, Kids & Family",6.2,PG,1h 43min,Julia Hart,2020
Tinker Bell and the Legend of the NeverBeast,"Animation, Action & Adventure, Fantasy, Kids & Family",N/A,G,1h 17min,Steve Loter,2014
Playing with Sharks,Documentary,7.5,PG-13,1h 35min,Sally Aitken,2021
Hamilton: History Has Its Eyes On You,Documentary,6.4,PG,46min,Thomas Kail,2020
Shook,"Kids & Family, Comedy",7.9,G,53min,N/A,2020
Becoming Cousteau,Documentary,7.1,PG-13,1h 34min,Liz Garbus,2021
Phineas and Ferb: Star Wars,"Animation, Science-Fiction, Kids & Family, Action & Adventure",N/A,G,51min,Sue Perrotto,2014
Marvel Studios Assembled: The Making of Hawkeye,Documentary,8.8,PG-13,59min,Brad Baruh,2022
Pixar 2021 Disney+ Day Special,Documentary,N/A,G,4min,Pete Docter,2021
Expedition Everest,Documentary,6.5,PG,42min,Katie Bauer Murdock,2020
Disney Channel Halloween House Party,"Comedy, Kids & Family",6.1,N/A,23min,Trevor Moore,2020
Mary Poppins Returns,"Fantasy, Comedy, Kids & Family, Animation",6.7,PG,2h 8min,Rob Marshall,2018
Queen of Katwe,"Drama, Sport",7.4,PG,2h 4min,Mira Nair,2016
Twenty Something,"Comedy, Drama, Animation",N/A,PG,7min,Aphton Corbin,2021
Penguins,"Documentary, Kids & Family",7.1,G,1h 16min,Jeff Wilson,2019
Planes,"Comedy, Kids & Family, Sport, Animation",5.7,PG,1h 31min,Klay Hall,2013
Forky Asks A Question: What Is Time?,"Animation, Comedy, Kids & Family",N/A,G,3min,Bob Peterson,2019
Diary of a Wimpy Kid: The Long Haul,"Comedy, Kids & Family, Animation",4.3,PG,1h 30min,David Bowers,2017
